[09mei2024 18:53:22.735] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgedatauserdev, --assetIndex, 5, --assetsDir, C:\Users\Veenstra\.gradle\caches\forge_gradle\assets, --gameDir, ., --fml.forgeVersion, 47.2.20, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, --mod, orenamental, --all, --output, C:\Users\Veenstra\Desktop\Orenamental\src\generated\resources, --existing, C:\Users\Veenstra\Desktop\Orenamental\src\main\resources]
[09mei2024 18:53:22.741] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.5 by Amazon.com Inc.; OS Windows 10 arch amd64 version 10.0
[09mei2024 18:53:22.855] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgedatauserdev
[09mei2024 18:53:22.898] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Veenstra/.gradle/caches/modules-2/files-2.1/org.spongepowered/mixin/0.8.5/9d1c0c3a304ae6697ecd477218fa61b850bf57fc/mixin-0.8.5.jar%23128!/ Service=ModLauncher Env=CLIENT
[09mei2024 18:53:23.162] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Veenstra\.gradle\caches\modules-2\files-2.1\net.minecraftforge\javafmllanguage\1.20.1-47.2.20\918959a037ab7191a0c45a359f4746ab76c110c3\javafmllanguage-1.20.1-47.2.20.jar is missing mods.toml file
[09mei2024 18:53:23.165] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Veenstra\.gradle\caches\modules-2\files-2.1\net.minecraftforge\lowcodelanguage\1.20.1-47.2.20\c1d1efcb98e8bfcf3dbfed0d1e81b55b648b86bf\lowcodelanguage-1.20.1-47.2.20.jar is missing mods.toml file
[09mei2024 18:53:23.168] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Veenstra\.gradle\caches\modules-2\files-2.1\net.minecraftforge\mclanguage\1.20.1-47.2.20\efca3bee89c0085192b122d47334692b921ca7d1\mclanguage-1.20.1-47.2.20.jar is missing mods.toml file
[09mei2024 18:53:23.171] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Veenstra\.gradle\caches\modules-2\files-2.1\net.minecraftforge\fmlcore\1.20.1-47.2.20\12cd436f148405b50c9b16bd8f3cc6f18db89824\fmlcore-1.20.1-47.2.20.jar is missing mods.toml file
[09mei2024 18:53:23.230] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: No dependencies to load found. Skipping!
[09mei2024 18:53:24.432] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgedatauserdev' with arguments [--gameDir, ., --assetsDir, C:\Users\Veenstra\.gradle\caches\forge_gradle\assets, --assetIndex, 5, --mod, orenamental, --all, --output, C:\Users\Veenstra\Desktop\Orenamental\src\generated\resources, --existing, C:\Users\Veenstra\Desktop\Orenamental\src\main\resources]
[09mei2024 18:53:25.139] [main/INFO] [net.minecraftforge.data.loading.DatagenModLoader/]: Initializing Data Gatherer for mods [orenamental]
[09mei2024 18:53:29.127] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 47.2.20, for MC 1.20.1 with MCP 20230612.114412
[09mei2024 18:53:29.128] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v47.2.20 Initialized
[09mei2024 18:53:29.554] [main/WARN] [net.minecraft.server.packs.VanillaPackResourcesBuilder/]: Assets URL 'union:/C:/Users/Veenstra/.gradle/caches/forge_gradle/minecraft_user_repo/net/minecraftforge/forge/1.20.1-47.2.20_mapped_parchment_2023.10.08-1.20.2/forge-1.20.1-47.2.20_mapped_parchment_2023.10.08-1.20.2-recomp.jar%23191!/assets/.mcassetsroot' uses unexpected schema
[09mei2024 18:53:29.555] [main/WARN] [net.minecraft.server.packs.VanillaPackResourcesBuilder/]: Assets URL 'union:/C:/Users/Veenstra/.gradle/caches/forge_gradle/minecraft_user_repo/net/minecraftforge/forge/1.20.1-47.2.20_mapped_parchment_2023.10.08-1.20.2/forge-1.20.1-47.2.20_mapped_parchment_2023.10.08-1.20.2-recomp.jar%23191!/data/.mcassetsroot' uses unexpected schema
[09mei2024 18:53:29.732] [main/INFO] [net.minecraft.data.DataGenerator/]: Starting provider: Texture gen Orenamental
[09mei2024 18:53:29.824] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/black/black_aluminium_block has already been generated before, skipping!
[09mei2024 18:53:29.873] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/yellow/yellow_cut_aluminium_pillar has already been generated before, skipping!
[09mei2024 18:53:29.874] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/yellow/yellow_cut_aluminium_pillar_bottom has already been generated before, skipping!
[09mei2024 18:53:29.874] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/yellow/yellow_cut_aluminium_pillar_middle has already been generated before, skipping!
[09mei2024 18:53:29.874] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/yellow/yellow_cut_aluminium_pillar_top has already been generated before, skipping!
[09mei2024 18:53:29.876] [main/INFO] [net.minecraft.data.DataGenerator/]: Texture gen Orenamental finished after 143 ms
[09mei2024 18:53:29.876] [main/INFO] [net.minecraft.data.DataGenerator/]: Starting provider: Recipes
[09mei2024 18:53:29.878] [main/INFO] [net.minecraft.data.DataGenerator/]: Recipes finished after 1 ms
[09mei2024 18:53:29.878] [main/INFO] [net.minecraft.data.DataGenerator/]: Starting provider: Loot Tables
[09mei2024 18:53:29.888] [main/INFO] [net.minecraft.data.DataGenerator/]: Loot Tables finished after 9 ms
[09mei2024 18:53:29.888] [main/INFO] [net.minecraft.data.DataGenerator/]: Starting provider: Languages: en_us
[09mei2024 18:53:29.891] [main/INFO] [net.minecraft.data.DataGenerator/]: Languages: en_us finished after 3 ms
[09mei2024 18:53:29.892] [main/INFO] [net.minecraft.data.DataGenerator/]: Starting provider: Block States: orenamental
[09mei2024 18:53:30.133] [main/INFO] [net.minecraft.data.DataGenerator/]: Block States: orenamental finished after 241 ms
[09mei2024 18:53:30.133] [main/INFO] [net.minecraft.data.DataGenerator/]: Starting provider: Item Models: orenamental
[09mei2024 18:53:33.283] [main/INFO] [net.minecraft.data.DataGenerator/]: Item Models: orenamental finished after 3149 ms
[09mei2024 18:53:33.283] [main/INFO] [net.minecraft.data.DataGenerator/]: Starting provider: Tags for minecraft:fluid mod id orenamental
[09mei2024 18:53:33.286] [main/INFO] [net.minecraft.data.DataGenerator/]: Tags for minecraft:fluid mod id orenamental finished after 3 ms
[09mei2024 18:53:33.287] [main/INFO] [net.minecraft.data.DataGenerator/]: Starting provider: Tags for minecraft:entity_type mod id orenamental
[09mei2024 18:53:33.287] [main/INFO] [net.minecraft.data.DataGenerator/]: Tags for minecraft:entity_type mod id orenamental finished after 0 ms
[09mei2024 18:53:33.287] [main/INFO] [net.minecraft.data.DataGenerator/]: Starting provider: Tags for minecraft:block mod id orenamental
[09mei2024 18:53:33.304] [main/INFO] [net.minecraft.data.DataGenerator/]: Tags for minecraft:block mod id orenamental finished after 17 ms
[09mei2024 18:53:33.304] [main/INFO] [net.minecraft.data.DataGenerator/]: Starting provider: Tags for minecraft:item mod id orenamental
[09mei2024 18:53:33.305] [main/INFO] [net.minecraft.data.DataGenerator/]: Tags for minecraft:item mod id orenamental finished after 0 ms
[09mei2024 18:53:33.305] [main/INFO] [net.minecraft.data.DataGenerator/]: All providers took: 3573 ms
[09mei2024 18:53:33.320] [main/INFO] [net.minecraft.data.HashCache/]: Caching: total files: 242, old count: 274, new count: 243, removed stale: 0, written: 8
